File,Transcription,Language
checkin.wav,where is the check in desk,EN
checkin_child.wav,where is the check in desk,EN
parents.wav,i have lost my parents,EN
parents_child.wav,i have lost my parents,EN
suitcase.wav,please I have lost my suitcase,EN
suitcase_child.wav,please I have lost my suitcase,EN
what_time.wav,what time is my plane,EN
what_time_child.wav,what time is my plane,EN
where.wav,where are the restaurants and shops,EN
where_child.wav,where are the restaurants and shops,EN
your_sentence1.wav,where is my departure gate,EN
your_sentence2.wav,where do I collect my luggage,EN
checkin_it.wav,dove e' il bancone,IT
parents_it.wav,ho perso i miei genitori,IT
suitcase_it.wav,per favore ho perso la mia valigia,IT
what_time_it.wav,a che ora e’ il mio aereo,IT
where_it.wav,dove sono i ristoranti e i negozi,IT
checkin_es.wav,dónde están los mostradores,ES
parents_es.wav,he perdido a mis padres,ES
suitcase_es.wav,"Por favor, he perdido mi maleta",ES
what_time_es.wav,A que hora es mi avión,ES
where_es.wav,donde están los restaurantes y las tiendas,ES
